Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1,
*,*,*,C28/C29/C30/H2/H3/H4/J1/J2/J3/J4/J5/J6/JP1/R23/R28/R29/TP1/TP2/TP3/TP4/TP5/TP6/TP7/TP8/TP9/TP10/TP11/TP12/TP13/TP14/TP15/TP16/TP17/TP18/TP19/TP26/TP27/TP28/TP30/TP31/TP32,82,*** PART# '*' NOT FOUND : C28/C29/C30/H2/H3/H4/J1/J2/J3/J4/J5/J6/JP1/R23/R28/R29/TP1/TP2/TP3/TP4/TP5/TP6/TP7/TP8/TP9/TP10/TP11/TP12/TP13/TP14/TP15/TP16/TP17/TP18/TP19/TP26/TP27/TP28/TP30/TP31/TP32
350-2044-1-ND,Dialight,598-8170-107F,LED1/LED2/LED3/LED29/LED30,10,
A103412CT-ND,TE Connectivity AMP Connectors,1676307-2,R1,2,
BSS138CT-ND,Fairchild Semiconductor,BSS138,Q8/Q9/Q10/Q11,8,
399-9275-1-ND,Kemet,C0805C822K5RACTU,C4/C15/C18,6,
445-11475-1-ND,TDK Corporation,C2012JB1E226M125AC,C6/C7/C8/C17/C19/C20/C22/C23/C24,18,
296-14106-1-ND,Texas Instruments,CD4043BPWR,U18,2,
296-31503-1-ND,Texas Instruments,CD4050BDR,U16/U17/U25,6,
1276-1163-1-ND,Samsung Electro-Mechanics America, Inc,CL21C150JBANNNC,C25/C26,4,
296-28408-1-ND,Texas Instruments,CSD17506Q5A,U23/U26/U28/U30/U32/U34,12,
XC1776CT-ND,ECS Inc.,ECS-160-20-3X-TR,Y1,2,
587-1283-1-ND,Taiyo Yuden,EMK212B7105KG-T,REF25,4,
P2.2KDACT-ND,Panasonic Electronic Components,ERA-6AEB222V,R15/R16/R33,6,
P54.9KDACT-ND,Panasonic Electronic Components,ERA-6AEB5492V,R7/R24,4,
P100CCT-ND,Panasonic Electronic Components,ERJ-6ENF1000V,R32,2,
P1.00KCCT-ND,Panasonic Electronic Components,ERJ-6ENF1001V,R4/R5/R6/R10/R27,10,
P10.0KCCT-ND,Panasonic Electronic Components,ERJ-6ENF1002V,R2/R3/R8/R9/R14/R18/R20/R22/R25/R26/R30/R31/R34/R35/R36/R37/R40/R41/R42/R43/R44/R45,44,
P120CCT-ND,Panasonic Electronic Components,ERJ-6ENF1200V,R17,2,
P0.0ACT-ND,Panasonic Electronic Components,ERJ-6GEY0R00V,R11/R19/R21,6,
P16879CT-ND,Panasonic Electronic Components,ERJ-P6WF3300V,R12/R13,4,
450-1759-1-ND,TE Connectivity Alcoswitch Switches,FSM4JSMATR,S1,2,
490-5523-1-ND,Murata Electronics North America,GRM21BR61E106KA73L,C2/C3/C10/C11/C13/C14,12,
490-1673-1-ND,Murata Electronics North America,GRM21BR71E104KA01L,REF43,18,
296-34872-1-ND,Texas Instruments,ISO1541DR,O1,2,
296-38679-1-ND,Texas Instruments,ISO7340CDWR,U11/U12,4,
LTC1155CS8#PBF-ND,Linear Technology,LTC1155CS8#PBF,U22/U24/U27/U29/U31/U33,12,
MAX5812LEUT+TCT-ND,Maxim Integrated,MAX5812LEUT+T,U3/U8,4,
MCP2515-E/ST-ND,Microchip Technology,MCP2515-E/ST,U14,2,
MCP2562-E/SN-ND,Microchip Technology,MCP2562-E/SN,U15,2,
296-1218-1-ND,Texas Instruments,SN74LVC04ADR,U21,2,
296-1697-1-ND,Texas Instruments,SN74LVC08ADR,U19,2,
296-1235-1-ND,Texas Instruments,SN74LVC32ADR,U20,2,
SRP6540-4R7MCT-ND,Bourns Inc.,SRP6540-4R7M,L1/L2/L3,6,
296-15021-1-ND,Texas Instruments,TL7712ACDR,U49,2,
TPS562219DDFT-ND,Texas Instruments,TPS562219DDFT,U9/U10/U13,6,
